Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 21.651
10.000 90.435 21.592
20.000 91.728 18.887
30.000 93.841 21.916
40.000 96.718 19.889
50.000 100.289 20.656
60.000 104.478 17.643
70.000 109.207 14.966
80.000 114.404 10.862
90.000 120.000 6.471
100.000 125.932 1.537
110.000 132.145 7.793
120.000 138.590 15.299
130.000 145.225 20.609
140.000 152.009 25.495
150.000 158.909 30.196
160.000 165.894 33.893
170.000 172.933 36.067
180.000 180.000 36.735
