Azimuthal dependency
Alpha  Phi  Amplitude
0.000 0.000 13.875
10.000 10.000 13.948
20.000 20.000 13.951
30.000 30.000 13.960
40.000 40.000 13.749
50.000 50.000 13.803
60.000 60.000 13.903
70.000 70.000 13.855
80.000 80.000 13.819
90.000 90.000 13.506
100.000 100.000 13.499
110.000 110.000 13.423
120.000 120.000 13.494
130.000 130.000 13.366
140.000 140.000 13.416
150.000 150.000 13.320
160.000 160.000 13.276
170.000 170.000 13.402
180.000 180.000 13.200
