Azimuthal dependency
Alpha  Phi  Amplitude
0.000 0.000 5.361
10.000 10.000 5.033
20.000 20.000 3.717
30.000 30.000 2.352
40.000 40.000 0.727
50.000 50.000 1.428
60.000 60.000 3.087
70.000 70.000 4.595
80.000 80.000 5.452
90.000 90.000 5.825
100.000 100.000 5.287
110.000 110.000 4.020
120.000 120.000 2.457
130.000 130.000 0.830
140.000 140.000 2.092
150.000 150.000 3.989
160.000 160.000 5.717
170.000 170.000 6.520
180.000 180.000 6.907
