Azimuthal dependency
Alpha  Phi  Amplitude
0.000 0.000 11.470
10.000 10.000 11.314
20.000 20.000 10.804
30.000 30.000 8.724
40.000 40.000 6.071
50.000 50.000 7.372
60.000 60.000 5.519
70.000 70.000 3.543
80.000 80.000 1.544
90.000 90.000 0.617
100.000 100.000 2.443
110.000 110.000 4.536
120.000 120.000 6.426
130.000 130.000 8.160
140.000 140.000 9.397
150.000 150.000 10.555
160.000 160.000 11.417
170.000 170.000 11.902
180.000 180.000 12.092
