Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 13.733
10.000 90.435 13.798
20.000 91.728 13.880
30.000 93.841 13.955
40.000 96.718 13.966
50.000 100.289 13.910
60.000 104.478 13.885
70.000 109.207 13.798
80.000 114.404 13.864
90.000 120.000 13.766
100.000 125.932 13.796
110.000 132.145 13.587
120.000 138.590 13.592
130.000 145.225 13.676
140.000 152.009 13.541
150.000 158.909 13.647
160.000 165.894 13.681
170.000 172.933 13.602
180.000 180.000 13.399
