Azimuthal dependency
Alpha  Phi  Amplitude
0.000 0.000 31.473
10.000 10.000 30.472
20.000 20.000 29.070
30.000 30.000 26.326
40.000 40.000 22.826
50.000 50.000 19.143
60.000 60.000 14.622
70.000 70.000 10.088
80.000 80.000 4.817
90.000 90.000 1.551
100.000 100.000 4.607
110.000 110.000 8.192
120.000 120.000 13.152
130.000 130.000 16.965
140.000 140.000 20.244
150.000 150.000 23.941
160.000 160.000 26.149
170.000 170.000 27.503
180.000 180.000 27.406
