Polar dependency
Alpha  Theta  Amplitude
0.000 90.000 5.640
10.000 90.435 5.111
20.000 91.728 4.421
30.000 93.841 4.578
40.000 96.718 7.016
50.000 100.289 11.628
60.000 104.478 17.777
70.000 109.207 20.559
80.000 114.404 23.591
90.000 120.000 22.190
100.000 125.932 19.725
110.000 132.145 14.218
120.000 138.590 6.035
130.000 145.225 4.267
140.000 152.009 16.484
150.000 158.909 28.498
160.000 165.894 36.560
170.000 172.933 41.468
180.000 180.000 42.635
