#   lambda -    lambda +
# p	r/um	dr	r/um	dr
1	39,26	5	64,70	4
2	97,88	3	110,70	3
3	132,59	3	141,91	2
4	159,59	2	166,79	2
5	181,31	1,5	188,77	1,5

